id;nom;prenom;adresse;code_postal;ville
1;ew ew;prestigious;phooey lighten;next lightly;honorable
2;pilot anxiously;lopsided;without staunch;yum obnoxiously doubtfully;dope ew
3;fibrosis how huzzah;of;however physically;sweeps;mountain
4;indeed unto;how sigh except;armoire deficient below;successfully strictly;loyally
5;boo;enthusiastically bran;stylish whereas which;intention;aw cable
6;talent;sequence;within;tomorrow;faraway aw as
7;wiseguy loose;adopt decipher atop;hence;yet regarding;grandparent zowie
8;regenerate lucky bah;pfft sinful;trafficker;instead vice coagulate;twig beneath
9;now fast gee;commemorate;blench;utterly molt boo;ack
10;migrate discharge very;coaxingly really meek;gosh irritably pfft;an once;considering so supposing
